,gtaa_buy_signal,sentiment_buy,risk_buy,dm_buy_signal,paa_buy_signal,daa_buy_signal
2013-01-02,"['GOOG', 'GOOGL', 'META', 'AMZN', 'LRCX']","['MSFT', 'INTC', 'CMCSA', 'TXN', 'SBUX']","['FTNT', 'ANSS']","['FANG', 'ASML', 'WDAY', 'AMD', 'PANW']","['REGN', 'ASML', 'GILD', 'ILMN', 'NXPI']","['ASML', 'NFLX', 'REGN', 'PANW', 'SIRI']"
2013-01-03,"['GOOG', 'GOOGL', 'META', 'AMZN', 'CSCO']","['MSFT', 'INTC', 'CMCSA', 'SBUX', 'ROST']","['FTNT', 'ANSS']","['FANG', 'ASML', 'WDAY', 'PANW', 'AMD']","['REGN', 'ASML', 'GILD', 'ILMN', 'NXPI']","['NFLX', 'ASML', 'PANW', 'SIRI', 'REGN']"
2013-01-04,"['NVDA', 'GOOG', 'GOOGL', 'META', 'AMZN']","['MSFT', 'INTC', 'CMCSA', 'SBUX', 'TXN']","['FTNT', 'ANSS']","['FANG', 'ASML', 'PANW', 'WDAY', 'AMD']","['REGN', 'ASML', 'GILD', 'EBAY', 'ILMN']","['ASML', 'SIRI', 'PANW', 'NFLX', 'REGN']"
2013-01-07,"['AMZN', 'META', 'GOOG', 'GOOGL', 'NFLX']","['MSFT', 'INTC', 'EBAY', 'CMCSA', 'QCOM']","['MNST', 'FTNT', 'ANSS']","['FANG', 'PANW', 'AMD', 'META', 'WDAY']","['REGN', 'ASML', 'GILD', 'EBAY', 'DXCM']","['NFLX', 'PANW', 'SIRI', 'ASML', 'REGN']"
2013-01-08,"['GOOG', 'GOOGL', 'AMZN', 'META', 'CMCSA']","['INTC', 'MSFT', 'SBUX', 'CDNS', 'AMGN']","['FTNT', 'ASML', 'ANSS']","['FANG', 'PANW', 'AMD', 'META', 'WDAY']","['REGN', 'ASML', 'GILD', 'EBAY', 'ILMN']","['SIRI', 'PANW', 'ASML', 'NFLX', 'META']"
2013-01-09,"['META', 'GOOG', 'GOOGL', 'AMZN', 'CSCO']","['MSFT', 'INTC', 'SBUX', 'ROST', 'AMGN']","['FTNT', 'EXC', 'ASML', 'ANSS']","['FANG', 'META', 'AMD', 'WDAY', 'PANW']","['REGN', 'ASML', 'GILD', 'EBAY', 'DXCM']","['SIRI', 'ASML', 'PANW', 'REGN', 'NFLX']"
2013-01-10,"['META', 'GOOG', 'GOOGL', 'AMZN', 'CSCO']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'ROST']","['FTNT', 'EXC', 'ASML', 'ANSS']","['FANG', 'ASML', 'WDAY', 'AMD', 'META']","['REGN', 'ASML', 'GILD', 'EBAY', 'DXCM']","['NXPI', 'NFLX', 'ASML', 'SIRI', 'PANW']"
2013-01-11,"['META', 'GOOG', 'GOOGL', 'AMZN', 'AVGO']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'AEP']","['FTNT', 'EXC', 'ASML', 'ANSS']","['FANG', 'ASML', 'AMD', 'WDAY', 'SIRI']","['REGN', 'ASML', 'GILD', 'EBAY', 'NXPI']","['NFLX', 'ASML', 'SIRI', 'PANW', 'NXPI']"
2013-01-14,"['GOOG', 'GOOGL', 'META', 'AMZN', 'CSCO']","['MSFT', 'INTC', 'SBUX', 'GILD', 'AMGN']","['FTNT', 'EXC', 'EA', 'ASML', 'ANSS']","['ASML', 'AMD', 'SIRI', 'GILD', 'WBD']","['REGN', 'ASML', 'EBAY', 'GILD', 'NXPI']","['NXPI', 'ASML', 'NFLX', 'PANW', 'META']"
2013-01-15,"['META', 'GOOG', 'GOOGL', 'AMZN', 'CSCO']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'ROST']","['EXC', 'PEP', 'FAST', 'EA', 'ASML']","['PANW', 'AMD', 'SIRI', 'GILD', 'WDAY']","['REGN', 'ASML', 'GILD', 'EBAY', 'NXPI']","['NXPI', 'PANW', 'ASML', 'NFLX', 'META']"
2013-01-16,"['GOOG', 'GOOGL', 'META', 'EBAY', 'AMZN']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'EXC']","['PEP', 'ASML', 'ANSS']","['PANW', 'ASML', 'SIRI', 'META', 'GILD']","['REGN', 'ASML', 'EBAY', 'GILD', 'NXPI']","['NXPI', 'ASML', 'PANW', 'MU', 'META']"
2013-01-17,"['GOOG', 'GOOGL', 'EBAY', 'LRCX', 'CSCO']","['INTC', 'MSFT', 'EXC', 'SBUX', 'AMGN']","['PEP', 'ANSS']","['ASML', 'PANW', 'SIRI', 'AMD', 'GILD']","['REGN', 'ASML', 'EBAY', 'NXPI', 'GILD']","['ASML', 'NXPI', 'MU', 'PANW', 'META']"
2013-01-18,"['GOOG', 'GOOGL', 'AMZN', 'TSLA', 'META']","['INTC', 'MSFT', 'EXC', 'AMGN', 'SBUX']","['PEP', 'ANSS']","['ASML', 'PANW', 'SIRI', 'GILD', 'META']","['REGN', 'ASML', 'EBAY', 'GILD', 'CMCSA']","['ASML', 'MU', 'NXPI', 'PANW', 'META']"
2013-01-22,"['GOOG', 'GOOGL', 'META', 'AMZN', 'CSCO']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'QCOM']","['CSX', 'ANSS']","['ASML', 'AMD', 'WDAY', 'SIRI', 'GILD']","['REGN', 'ASML', 'EBAY', 'GILD', 'CMCSA']","['ASML', 'MU', 'NXPI', 'PANW', 'META']"
2013-01-23,"['GOOG', 'GOOGL', 'NFLX', 'CSX', 'AMZN']","['MSFT', 'INTC', 'EXC', 'SBUX', 'QCOM']",['ANSS'],"['ASML', 'SIRI', 'META', 'WBD', 'GILD']","['REGN', 'ASML', 'EBAY', 'GILD', 'CMCSA']","['ASML', 'MU', 'NFLX', 'NXPI', 'PANW']"
2013-01-24,"['GOOG', 'GOOGL', 'NFLX', 'AMZN', 'CSCO']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'ROST']","['QCOM', 'ANSS']","['NFLX', 'ASML', 'META', 'GILD', 'WDAY']","['REGN', 'ASML', 'EBAY', 'GILD', 'NFLX']","['NFLX', 'ASML', 'MU', 'NXPI', 'PANW']"
2013-01-25,"['NFLX', 'AMZN', 'GOOG', 'GOOGL', 'LRCX']","['INTC', 'MSFT', 'SBUX', 'TXN', 'AMGN']","['CSX', 'AMAT', 'ANSS']","['NFLX', 'ASML', 'WDAY', 'GILD', 'SIRI']","['ASML', 'REGN', 'NFLX', 'EBAY', 'GILD']","['NFLX', 'ASML', 'MU', 'NXPI', 'PANW']"
2013-01-28,"['NFLX', 'AMZN', 'GOOG', 'GOOGL', 'META']","['INTC', 'MSFT', 'CMCSA', 'SBUX', 'AMGN']","['AMAT', 'MNST', 'ANSS']","['NFLX', 'ASML', 'SIRI', 'GILD', 'META']","['ASML', 'REGN', 'EBAY', 'GILD', 'CSGP']","['NFLX', 'ASML', 'MU', 'NXPI', 'TSLA']"
2013-01-29,"['AMZN', 'META', 'GOOG', 'GOOGL', 'NFLX']","['INTC', 'MSFT', 'AMGN', 'SBUX', 'AEP']",['ANSS'],"['NFLX', 'ASML', 'GILD', 'SIRI', 'CPRT']","['ASML', 'REGN', 'EBAY', 'GILD', 'WBD']","['NFLX', 'ASML', 'MU', 'CPRT', 'TSLA']"
2013-01-30,"['AMZN', 'META', 'GOOG', 'GOOGL', 'NFLX']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'ROST']",['ANSS'],"['NFLX', 'ASML', 'GILD', 'SIRI', 'META']","['ASML', 'REGN', 'EBAY', 'GILD', 'WBD']","['NFLX', 'ASML', 'MU', 'NXPI', 'CPRT']"
2013-01-31,"['META', 'AMZN', 'FTNT', 'AVGO', 'GOOG']","['MSFT', 'INTC', 'SBUX', 'PEP', 'ROST']","['ALGN', 'ASML', 'ANSS']","['NFLX', 'ASML', 'CPRT', 'WDAY', 'SIRI']","['ASML', 'REGN', 'EBAY', 'CSGP', 'WBD']","['NFLX', 'ASML', 'CPRT', 'MU', 'PANW']"
2013-02-01,"['GOOG', 'GOOGL', 'AMZN', 'META', 'NFLX']","['MSFT', 'INTC', 'SBUX', 'PEP', 'ROST']","['ASML', 'ALGN', 'ANSS']","['NFLX', 'ASML', 'SIRI', 'GILD', 'CPRT']","['ASML', 'REGN', 'EBAY', 'CSGP', 'GILD']","['NFLX', 'ASML', 'CPRT', 'MU', 'TSLA']"
2013-02-04,"['GOOG', 'GOOGL', 'META', 'AMZN', 'NFLX']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'AEP']","['CSX', 'ADBE', 'ASML', 'ANSS']","['NFLX', 'ASML', 'CPRT', 'AMD', 'GILD']","['ASML', 'REGN', 'EBAY', 'CSGP', 'WBD']","['NFLX', 'ASML', 'CPRT', 'PANW', 'TSLA']"
2013-02-05,"['AMZN', 'GOOG', 'GOOGL', 'NFLX', 'META']","['MSFT', 'INTC', 'EA', 'SBUX', 'PEP']","['CSX', 'ADBE', 'ANSS']","['NFLX', 'ASML', 'CPRT', 'GILD', 'ENPH']","['ASML', 'REGN', 'EBAY', 'CSGP', 'WBD']","['NFLX', 'ASML', 'CPRT', 'PANW', 'EA']"
2013-02-06,"['GOOG', 'GOOGL', 'NFLX', 'AMZN', 'MU']","['MSFT', 'INTC', 'EXC', 'SBUX', 'AMGN']","['ADBE', 'ANSS']","['NFLX', 'ASML', 'CPRT', 'ENPH', 'GILD']","['ASML', 'EBAY', 'CSGP', 'REGN', 'WBD']","['NFLX', 'ASML', 'CPRT', 'PANW', 'TSLA']"
2013-02-07,"['GOOG', 'GOOGL', 'AMZN', 'MU', 'NFLX']","['INTC', 'MSFT', 'SBUX', 'AMGN', 'ROST']","['ADBE', 'ANSS']","['NFLX', 'ASML', 'CPRT', 'ENPH', 'GILD']","['ASML', 'EBAY', 'CSGP', 'REGN', 'WBD']","['NFLX', 'ASML', 'CPRT', 'PANW', 'TSLA']"
2013-02-08,"['GOOG', 'GOOGL', 'AMZN', 'META', 'AVGO']","['MSFT', 'INTC', 'AMGN', 'QCOM', 'SBUX']","['MU', 'ADBE', 'EA', 'ANSS']","['NFLX', 'ASML', 'CPRT', 'GILD', 'ENPH']","['ASML', 'EBAY', 'CSGP', 'REGN', 'WBD']","['NFLX', 'ASML', 'EA', 'CPRT', 'NXPI']"
2013-02-11,"['GOOG', 'GOOGL', 'AMZN', 'TSLA', 'CSX']","['MSFT', 'INTC', 'CMCSA', 'EBAY', 'AMGN']","['MU', 'PEP', 'ANSS']","['NFLX', 'ASML', 'FANG', 'ENPH', 'NXPI']","['ASML', 'EBAY', 'REGN', 'CSGP', 'WBD']","['NFLX', 'ASML', 'EA', 'ALGN', 'NXPI']"
2013-02-12,"['META', 'GOOG', 'GOOGL', 'AMZN', 'CSCO']","['MSFT', 'CMCSA', 'INTC', 'SBUX', 'TXN']","['EA', 'ANSS']","['NFLX', 'ASML', 'NXPI', 'ENPH', 'CPRT']","['ASML', 'EBAY', 'CSGP', 'REGN', 'WBD']","['NFLX', 'ASML', 'EA', 'ALGN', 'NXPI']"
2013-02-13,"['CMCSA', 'AMZN', 'CSCO', 'META', 'GOOG']","['CMCSA', 'MSFT', 'INTC', 'AMGN', 'SBUX']","['AEP', 'ANSS']","['NFLX', 'ASML', 'NXPI', 'ENPH', 'GILD']","['ASML', 'EBAY', 'CSGP', 'WBD', 'NFLX']","['NFLX', 'ASML', 'NXPI', 'EA', 'ALGN']"
2013-02-14,"['GOOG', 'GOOGL', 'AMZN', 'CSCO', 'CMCSA']","['INTC', 'MSFT', 'SBUX', 'AMGN', 'AEP']",['ANSS'],"['NFLX', 'ASML', 'FANG', 'GILD', 'NXPI']","['ASML', 'EBAY', 'CSGP', 'WBD', 'CPRT']","['NFLX', 'ASML', 'EA', 'NXPI', 'AMAT']"
2013-02-15,"['GOOG', 'GOOGL', 'AMZN', 'CSCO', 'MU']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'ROST']","['COST', 'ANSS']","['NFLX', 'ASML', 'FANG', 'GILD', 'CPRT']","['ASML', 'EBAY', 'CSGP', 'CPRT', 'NFLX']","['NFLX', 'ASML', 'ALGN', 'NXPI', 'CPRT']"
2013-02-19,"['GOOG', 'GOOGL', 'AMZN', 'META', 'CSCO']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'ROST']","['COST', 'WDAY', 'ANSS']","['NFLX', 'ASML', 'FANG', 'AMD', 'GILD']","['ASML', 'GILD', 'CSGP', 'EBAY', 'NFLX']","['NFLX', 'ASML', 'EA', 'PANW', 'CPRT']"
2013-02-20,"['GOOG', 'GOOGL', 'AMZN', 'CSCO', 'TSLA']","['INTC', 'MSFT', 'CMCSA', 'MNST', 'SBUX']","['EXC', 'WDAY', 'ANSS']","['NFLX', 'ASML', 'FANG', 'AMD', 'GILD']","['ASML', 'GILD', 'CSGP', 'EBAY', 'WBD']","['NFLX', 'ASML', 'EA', 'PANW', 'FTNT']"
2013-02-21,"['GOOG', 'GOOGL', 'TSLA', 'AMZN', 'META']","['INTC', 'MSFT', 'CMCSA', 'SBUX', 'GILD']","['EXC', 'CHTR', 'WDAY', 'ANSS']","['NFLX', 'ASML', 'FANG', 'GILD', 'NXPI']","['ASML', 'GILD', 'CSGP', 'REGN', 'NFLX']","['NFLX', 'ASML', 'EA', 'PANW', 'META']"
2013-02-22,"['GOOG', 'GOOGL', 'AMZN', 'NFLX', 'TSLA']","['INTC', 'MSFT', 'SBUX', 'GILD', 'AMGN']","['CHTR', 'WDAY', 'ANSS']","['NFLX', 'ASML', 'GILD', 'NXPI', 'ENPH']","['ASML', 'GILD', 'CSGP', 'REGN', 'NFLX']","['NFLX', 'ASML', 'EA', 'PANW', 'FTNT']"
2013-02-25,"['GOOG', 'GOOGL', 'AMZN', 'NFLX', 'TSLA']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'ROST']","['EA', 'CHTR', 'ANSS']","['NFLX', 'GILD', 'NXPI', 'CPRT', 'EA']","['ASML', 'GILD', 'NFLX', 'CSGP', 'WBD']","['NFLX', 'EA', 'PANW', 'ASML', 'META']"
2013-02-26,"['GOOG', 'GOOGL', 'AMZN', 'TSLA', 'CSCO']","['INTC', 'MSFT', 'SBUX', 'ROST', 'AMGN']","['CSX', 'EA', 'CHTR', 'ANSS']","['NFLX', 'GILD', 'ENPH', 'NXPI', 'CPRT']","['ASML', 'GILD', 'NFLX', 'WBD', 'CSGP']","['NFLX', 'PANW', 'EA', 'ASML', 'META']"
2013-02-27,"['GOOG', 'GOOGL', 'AMZN', 'META', 'TSLA']","['INTC', 'MSFT', 'SBUX', 'AMGN', 'ROST']",['CHTR'],"['NFLX', 'GILD', 'WBD', 'CPRT', 'NXPI']","['ASML', 'GILD', 'NFLX', 'WBD', 'CSGP']","['NFLX', 'EA', 'PANW', 'ASML', 'GILD']"
2013-02-28,"['GOOG', 'GOOGL', 'META', 'AMZN', 'MU']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'ROST']",['CHTR'],"['NFLX', 'FANG', 'GILD', 'WBD', 'NXPI']","['ASML', 'GILD', 'NFLX', 'CSGP', 'WBD']","['NFLX', 'PANW', 'EA', 'GILD', 'MU']"
