,gtaa_buy_signal,sentiment_buy,risk_buy,dm_buy_signal,paa_buy_signal,daa_buy_signal
2013-01-02,"['GOOG', 'GOOGL', 'META']","['MSFT', 'INTC', 'CMCSA']","['MSFT', 'AMGN', 'COST']","['FANG', 'ASML', 'WDAY']","['REGN', 'ASML', 'GILD']","['ASML', 'NFLX', 'REGN']"
2013-01-03,"['GOOG', 'GOOGL', 'META']","['MSFT', 'INTC', 'CMCSA']","['MSFT', 'COST', 'AMGN']","['FANG', 'ASML', 'WDAY']","['REGN', 'ASML', 'GILD']","['NFLX', 'ASML', 'PANW']"
2013-01-04,"['NVDA', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'CMCSA']","['MSFT', 'AMGN', 'COST']","['FANG', 'ASML', 'PANW']","['REGN', 'ASML', 'GILD']","['ASML', 'SIRI', 'PANW']"
2013-01-07,"['AMZN', 'META', 'GOOG']","['MSFT', 'INTC', 'EBAY']","['MSFT', 'ROST', 'AMGN']","['FANG', 'PANW', 'AMD']","['REGN', 'ASML', 'GILD']","['NFLX', 'PANW', 'SIRI']"
2013-01-08,"['GOOG', 'GOOGL', 'AMZN']","['INTC', 'MSFT', 'SBUX']","['MSFT', 'AMGN', 'ROST']","['FANG', 'PANW', 'AMD']","['REGN', 'ASML', 'GILD']","['SIRI', 'PANW', 'ASML']"
2013-01-09,"['META', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'SBUX']","['MSFT', 'ROST', 'AMGN']","['FANG', 'META', 'AMD']","['REGN', 'ASML', 'GILD']","['SIRI', 'ASML', 'PANW']"
2013-01-10,"['META', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'SBUX']","['MSFT', 'ROST']","['FANG', 'ASML', 'WDAY']","['REGN', 'ASML', 'GILD']","['NXPI', 'NFLX', 'ASML']"
2013-01-11,"['META', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'SBUX']","['MSFT', 'ROST']","['FANG', 'ASML', 'AMD']","['REGN', 'ASML', 'GILD']","['NFLX', 'ASML', 'SIRI']"
2013-01-14,"['GOOG', 'GOOGL', 'META']","['MSFT', 'INTC', 'SBUX']","['MSFT', 'GILD', 'ROST']","['ASML', 'AMD', 'SIRI']","['REGN', 'ASML', 'EBAY']","['NXPI', 'ASML', 'NFLX']"
2013-01-15,"['META', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'SBUX']","['MSFT', 'ROST']","['PANW', 'AMD', 'SIRI']","['REGN', 'ASML', 'GILD']","['NXPI', 'PANW', 'ASML']"
2013-01-16,"['GOOG', 'GOOGL', 'META']","['MSFT', 'INTC', 'SBUX']","['MSFT', 'EXC', 'ROST']","['PANW', 'ASML', 'SIRI']","['REGN', 'ASML', 'EBAY']","['NXPI', 'ASML', 'PANW']"
2013-01-17,"['GOOG', 'GOOGL', 'EBAY']","['INTC', 'MSFT', 'EXC']","['MSFT', 'EXC', 'ROST']","['ASML', 'PANW', 'SIRI']","['REGN', 'ASML', 'EBAY']","['ASML', 'NXPI', 'MU']"
2013-01-18,"['GOOG', 'GOOGL', 'AMZN']","['INTC', 'MSFT', 'EXC']","['MSFT', 'EXC', 'ROST']","['ASML', 'PANW', 'SIRI']","['REGN', 'ASML', 'EBAY']","['ASML', 'MU', 'NXPI']"
2013-01-22,"['GOOG', 'GOOGL', 'META']","['MSFT', 'INTC', 'SBUX']","['MSFT', 'QCOM', 'EXC']","['ASML', 'AMD', 'WDAY']","['REGN', 'ASML', 'EBAY']","['ASML', 'MU', 'NXPI']"
2013-01-23,"['GOOG', 'GOOGL', 'NFLX']","['MSFT', 'INTC', 'EXC']","['MSFT', 'EXC', 'QCOM']","['ASML', 'SIRI', 'META']","['REGN', 'ASML', 'EBAY']","['ASML', 'MU', 'NFLX']"
2013-01-24,"['GOOG', 'GOOGL', 'NFLX']","['MSFT', 'INTC', 'SBUX']","['MSFT', 'AMGN', 'PEP']","['NFLX', 'ASML', 'META']","['REGN', 'ASML', 'EBAY']","['NFLX', 'ASML', 'MU']"
2013-01-25,"['NFLX', 'AMZN', 'GOOG']","['INTC', 'MSFT', 'SBUX']","['MSFT', 'AMGN', 'PEP']","['NFLX', 'ASML', 'WDAY']","['ASML', 'REGN', 'NFLX']","['NFLX', 'ASML', 'MU']"
2013-01-28,"['NFLX', 'AMZN', 'GOOG']","['INTC', 'MSFT', 'CMCSA']","['MSFT', 'AMGN', 'PEP']","['NFLX', 'ASML', 'SIRI']","['ASML', 'REGN', 'EBAY']","['NFLX', 'ASML', 'MU']"
