,gtaa_buy_signal,sentiment_buy,risk_buy,dm_buy_signal,paa_buy_signal,daa_buy_signal
2013-01-02,"['GOOG', 'GOOGL', 'META', 'AMZN', 'LRCX']","['MSFT', 'INTC', 'CMCSA', 'TXN', 'SBUX']","['MSFT', 'AMGN', 'COST']","['FANG', 'ASML', 'WDAY', 'AMD', 'PANW']","['REGN', 'ASML', 'GILD', 'ILMN', 'NXPI']","['ASML', 'NFLX', 'REGN', 'PANW', 'SIRI']"
2013-01-03,"['GOOG', 'GOOGL', 'META', 'AMZN', 'CSCO']","['MSFT', 'INTC', 'CMCSA', 'SBUX', 'ROST']","['MSFT', 'COST', 'AMGN']","['FANG', 'ASML', 'WDAY', 'PANW', 'AMD']","['REGN', 'ASML', 'GILD', 'ILMN', 'NXPI']","['NFLX', 'ASML', 'PANW', 'SIRI', 'REGN']"
2013-01-04,"['NVDA', 'GOOG', 'GOOGL', 'META', 'AMZN']","['MSFT', 'INTC', 'CMCSA', 'SBUX', 'TXN']","['MSFT', 'AMGN', 'COST']","['FANG', 'ASML', 'PANW', 'WDAY', 'AMD']","['REGN', 'ASML', 'GILD', 'EBAY', 'ILMN']","['ASML', 'SIRI', 'PANW', 'NFLX', 'REGN']"
2013-01-07,"['AMZN', 'META', 'GOOG', 'GOOGL', 'NFLX']","['MSFT', 'INTC', 'EBAY', 'CMCSA', 'QCOM']","['MSFT', 'ROST', 'AMGN', 'COST']","['FANG', 'PANW', 'AMD', 'META', 'WDAY']","['REGN', 'ASML', 'GILD', 'EBAY', 'DXCM']","['NFLX', 'PANW', 'SIRI', 'ASML', 'REGN']"
2013-01-08,"['GOOG', 'GOOGL', 'AMZN', 'META', 'CMCSA']","['INTC', 'MSFT', 'SBUX', 'CDNS', 'AMGN']","['MSFT', 'AMGN', 'ROST', 'COST']","['FANG', 'PANW', 'AMD', 'META', 'WDAY']","['REGN', 'ASML', 'GILD', 'EBAY', 'ILMN']","['SIRI', 'PANW', 'ASML', 'NFLX', 'META']"
2013-01-09,"['META', 'GOOG', 'GOOGL', 'AMZN', 'CSCO']","['MSFT', 'INTC', 'SBUX', 'ROST', 'AMGN']","['MSFT', 'ROST', 'AMGN', 'COST']","['FANG', 'META', 'AMD', 'WDAY', 'PANW']","['REGN', 'ASML', 'GILD', 'EBAY', 'DXCM']","['SIRI', 'ASML', 'PANW', 'REGN', 'NFLX']"
2013-01-10,"['META', 'GOOG', 'GOOGL', 'AMZN', 'CSCO']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'ROST']","['MSFT', 'ROST']","['FANG', 'ASML', 'WDAY', 'AMD', 'META']","['REGN', 'ASML', 'GILD', 'EBAY', 'DXCM']","['NXPI', 'NFLX', 'ASML', 'SIRI', 'PANW']"
2013-01-11,"['META', 'GOOG', 'GOOGL', 'AMZN', 'AVGO']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'AEP']","['MSFT', 'ROST']","['FANG', 'ASML', 'AMD', 'WDAY', 'SIRI']","['REGN', 'ASML', 'GILD', 'EBAY', 'NXPI']","['NFLX', 'ASML', 'SIRI', 'PANW', 'NXPI']"
2013-01-14,"['GOOG', 'GOOGL', 'META', 'AMZN', 'CSCO']","['MSFT', 'INTC', 'SBUX', 'GILD', 'AMGN']","['MSFT', 'GILD', 'ROST']","['ASML', 'AMD', 'SIRI', 'GILD', 'WBD']","['REGN', 'ASML', 'EBAY', 'GILD', 'NXPI']","['NXPI', 'ASML', 'NFLX', 'PANW', 'META']"
2013-01-15,"['META', 'GOOG', 'GOOGL', 'AMZN', 'CSCO']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'ROST']","['MSFT', 'ROST']","['PANW', 'AMD', 'SIRI', 'GILD', 'WDAY']","['REGN', 'ASML', 'GILD', 'EBAY', 'NXPI']","['NXPI', 'PANW', 'ASML', 'NFLX', 'META']"
2013-01-16,"['GOOG', 'GOOGL', 'META', 'EBAY', 'AMZN']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'EXC']","['MSFT', 'EXC', 'ROST']","['PANW', 'ASML', 'SIRI', 'META', 'GILD']","['REGN', 'ASML', 'EBAY', 'GILD', 'NXPI']","['NXPI', 'ASML', 'PANW', 'MU', 'META']"
2013-01-17,"['GOOG', 'GOOGL', 'EBAY', 'LRCX', 'CSCO']","['INTC', 'MSFT', 'EXC', 'SBUX', 'AMGN']","['MSFT', 'EXC', 'ROST']","['ASML', 'PANW', 'SIRI', 'AMD', 'GILD']","['REGN', 'ASML', 'EBAY', 'NXPI', 'GILD']","['ASML', 'NXPI', 'MU', 'PANW', 'META']"
